trainCO2,trainyear,testCO2,testyear
318.64,1966.7,,
318.1,1966.8,,
319.78,1966.9,,
321.08,1967,,
322.06,1967,,
322.5,1967.1,,
323.04,1967.2,,
324.42,1967.3,,
325,1967.4,,
324.09,1967.5,,
322.55,1967.5,,
320.92,1967.6,,
319.31,1967.7,,
319.31,1967.8,,
320.72,1967.9,,
321.96,1968,,
322.57,1968,,
323.15,1968.1,,
323.89,1968.2,,
325.02,1968.3,,
325.57,1968.4,,
325.36,1968.5,,
324.14,1968.5,,
322.03,1968.6,,
320.41,1968.7,,
320.25,1968.8,,
321.31,1968.9,,
322.84,1969,,
324,1969,,
324.42,1969.1,,
325.64,1969.2,,
326.66,1969.3,,
327.34,1969.4,,
326.76,1969.5,,
325.88,1969.5,,
323.67,1969.6,,
322.38,1969.7,,
321.78,1969.8,,
322.85,1969.9,,
324.12,1970,,
325.03,1970,,
325.99,1970.1,,
326.87,1970.2,,
328.14,1970.3,,
328.07,1970.4,,
327.66,1970.5,,
326.35,1970.5,,
324.69,1970.6,,
323.1,1970.7,,
323.16,1970.8,,
323.98,1970.9,,
325.13,1971,,
326.17,1971,,
326.68,1971.1,,
327.18,1971.2,,
327.78,1971.3,,
328.92,1971.4,,
328.57,1971.5,,
327.34,1971.5,,
325.46,1971.6,,
323.36,1971.7,,
323.56,1971.8,,
324.8,1971.9,,
326.01,1972,,
326.77,1972,,
327.63,1972.1,,
327.75,1972.2,,
329.72,1972.3,,
330.07,1972.4,,
329.09,1972.5,,
328.05,1972.5,,
326.32,1972.6,,
324.93,1972.7,,
325.06,1972.8,,
326.5,1972.9,,
327.55,1973,,
328.55,1973,,
329.56,1973.1,,
330.3,1973.2,,
331.5,1973.3,,
332.48,1973.4,,
332.07,1973.5,,
330.87,1973.5,,
329.31,1973.6,,
327.51,1973.7,,
327.18,1973.8,,
328.16,1973.9,,
328.64,1974,,
329.35,1974,,
330.71,1974.1,,
331.48,1974.2,,
332.65,1974.3,,
333.07,1974.4,,
332.17,1974.5,,
330.99,1974.5,,
329.17,1974.6,,
327.41,1974.7,,
327.21,1974.8,,
328.34,1974.9,,
329.5,1975,,
330.68,1975,,
331.41,1975.1,,
331.85,1975.2,,
333.29,1975.3,,
333.91,1975.4,,
333.4,1975.5,,
331.76,1975.5,,
329.88,1975.6,,
328.57,1975.7,,
328.35,1975.8,,
329.33,1975.9,,
331.78,1976,,
332.75,1976.1,,
333.47,1976.2,,
334.78,1976.3,,
334.78,1976.4,,
333.98,1976.5,,
332.89,1976.5,,
330.64,1976.6,,
328.95,1976.7,,
328.77,1976.8,,
330.18,1976.9,,
331.72,1977,,
332.71,1977,,
333.23,1977.1,,
334.97,1977.2,,
336.03,1977.3,,
336.82,1977.4,,
336.09,1977.5,,
334.77,1977.5,,
332.51,1977.6,,
331.19,1977.7,,
331.21,1977.8,,
332.35,1977.9,,
333.47,1978,,
335.13,1978,,
335.26,1978.1,,
336.61,1978.2,,
337.76,1978.3,,
338,1978.4,,
337.97,1978.5,,
336.48,1978.5,,
334.37,1978.6,,
332.22,1978.7,,
332.41,1978.8,,
333.76,1978.9,,
334.83,1979,,
336.21,1979,,
336.65,1979.1,,
338.13,1979.2,,
338.92,1979.3,,
339.05,1979.4,,
339.2,1979.5,,
337.59,1979.5,,
335.55,1979.6,,
333.86,1979.7,,
334.12,1979.8,,
335.26,1979.9,,
336.65,1980,,
337.81,1980,,
338.26,1980.1,,
340.04,1980.2,,
340.86,1980.3,,
341.47,1980.4,,
341.26,1980.5,,
339.32,1980.5,,
337.65,1980.6,,
336.13,1980.7,,
336.05,1980.8,,
337.21,1980.9,,
338.38,1981,,
339.35,1981,,
340.51,1981.1,,
341.57,1981.2,,
342.56,1981.3,,
343.01,1981.4,,
342.52,1981.5,,
340.68,1981.5,,
338.56,1981.6,,
336.92,1981.7,,
337.12,1981.8,,
338.59,1981.9,,
339.85,1982,,
340.94,1982,,
341.69,1982.1,,
342.79,1982.2,,
343.85,1982.3,,
344.3,1982.4,,
343.42,1982.5,,
341.86,1982.5,,
339.91,1982.6,,
337.93,1982.7,,
338.09,1982.8,,
339.24,1982.9,,
340.67,1983,,
341.42,1983,,
342.67,1983.1,,
343.46,1983.2,,
345.07,1983.3,,
345.75,1983.4,,
345.3,1983.5,,
343.92,1983.5,,
342.04,1983.6,,
340,1983.7,,
340.12,1983.8,,
341.35,1983.9,,
342.99,1984,,
343.87,1984,,
344.58,1984.1,,
345.25,1984.2,,
347.35,1984.4,,
346.84,1984.5,,
345.39,1984.5,,
343,1984.6,,
341.23,1984.7,,
341.54,1984.8,,
342.9,1984.9,,
344.46,1985,,
345.11,1985,,
345.88,1985.1,,
347.49,1985.2,,
348.03,1985.3,,
348.75,1985.4,,
348.19,1985.5,,
346.49,1985.5,,
344.61,1985.6,,
343.02,1985.7,,
342.92,1985.8,,
344.22,1985.9,,
345.64,1986,,
346.46,1986,,
346.95,1986.1,,
347.88,1986.2,,
349.57,1986.3,,
350.35,1986.4,,
349.69,1986.5,,
347.78,1986.5,,
345.84,1986.6,,
344.81,1986.7,,
344.34,1986.8,,
345.67,1986.9,,
346.88,1987,,
348.18,1987,,
348.55,1987.1,,
349.54,1987.2,,
351.14,1987.3,,
351.85,1987.4,,
351.44,1987.5,,
349.79,1987.5,,
347.66,1987.6,,
346.41,1987.7,,
346.51,1987.8,,
347.8,1987.9,,
349.03,1988,,
350.17,1988,,
351.56,1988.1,,
352.22,1988.2,,
353.53,1988.3,,
354.14,1988.4,,
353.65,1988.5,,
352.53,1988.5,,
350.41,1988.6,,
348.84,1988.7,,
348.94,1988.8,,
349.99,1988.9,,
351.28,1989,,
352.72,1989,,
353.1,1989.1,,
353.65,1989.2,,
355.43,1989.3,,
355.7,1989.4,,
355.11,1989.5,,
353.79,1989.5,,
351.42,1989.6,,
349.8,1989.7,,
350.1,1989.8,,
351.26,1989.9,,
352.6,1990,,
353.66,1990,,
354.72,1990.1,,
355.49,1990.2,,
356.11,1990.3,,
357.08,1990.4,,
356.11,1990.5,,
354.68,1990.5,,
352.69,1990.6,,
351.05,1990.7,,
351.36,1990.8,,
352.81,1990.9,,
354.23,1991,,
354.83,1991,,
355.66,1991.1,,
357.01,1991.2,,
358.4,1991.3,,
359,1991.4,,
357.99,1991.5,,
355.97,1991.5,,
353.78,1991.6,,
352.2,1991.7,,
352.22,1991.8,,
353.7,1991.9,,
354.98,1992,,
356.1,1992,,
356.87,1992.1,,
357.73,1992.2,,
358.91,1992.3,,
359.46,1992.4,,
359.18,1992.5,,
356.72,1992.5,,
354.8,1992.6,,
352.78,1992.7,,
353.21,1992.8,,
354.15,1992.9,,
355.41,1993,,
356.79,1993,,
357.17,1993.1,,
358.26,1993.2,,
359.16,1993.3,,
360.07,1993.4,,
359.41,1993.5,,
357.39,1993.5,,
355.3,1993.6,,
353.8,1993.7,,
354.03,1993.8,,
355.27,1993.9,,
356.7,1994,,
357.93,1994,,
358.79,1994.1,,
359.68,1994.2,,
361.13,1994.3,,
361.48,1994.4,,
360.6,1994.5,,
359.2,1994.5,,
357.23,1994.6,,
355.42,1994.7,,
355.89,1994.8,,
357.41,1994.9,,
358.74,1995,,
359.73,1995,,
360.65,1995.1,,
361.59,1995.2,,
363.04,1995.3,,
363.61,1995.4,,
363.07,1995.5,,
361.55,1995.5,,
358.9,1995.6,,
357.93,1995.7,,
357.8,1995.8,,
359.22,1995.9,,
360.48,1996,,
361.83,1996,,
362.93,1996.1,,
363.87,1996.2,,
364.27,1996.3,,
364.93,1996.4,,
364.7,1996.5,,
363.3,1996.5,,
361.16,1996.6,,
359.36,1996.7,,
359.33,1996.8,,
360.62,1996.9,,
361.96,1997,,
362.82,1997,,
363.87,1997.1,,
364.24,1997.2,,
366.01,1997.3,,
366.47,1997.4,,
365.39,1997.5,,
364.09,1997.5,,
362.04,1997.6,,
360.13,1997.7,,
360.49,1997.8,,
362.21,1997.9,,
364.12,1998,,
364.97,1998,,
365.81,1998.1,,
366.95,1998.2,,
368.44,1998.3,,
369.31,1998.4,,
368.78,1998.5,,
367.59,1998.5,,
365.63,1998.6,,
363.84,1998.7,,
364.19,1998.8,,
365.37,1998.9,,
367.07,1999,,
367.89,1999,,
368.83,1999.1,,
369.41,1999.2,,
370.78,1999.3,,
370.52,1999.4,,
370.14,1999.5,,
369.09,1999.5,,
366.64,1999.6,,
364.68,1999.7,,
365.17,1999.8,,
366.5,1999.9,,
367.92,2000,,
369.02,2000,,
369.28,2000.1,,
370.37,2000.2,,
371.67,2000.3,,
371.37,2000.4,,
371.51,2000.5,,
369.71,2000.5,,
368.22,2000.6,,
366.86,2000.7,,
366.94,2000.8,,
368.28,2000.9,,
369.66,2001,,
370.45,2001,,
371.44,2001.1,,
372.38,2001.2,,
373.33,2001.3,,
373.76,2001.4,,
373.16,2001.5,,
371.51,2001.5,,
369.55,2001.6,,
368.16,2001.7,,
368.38,2001.8,,
369.64,2001.9,,
371.11,2002,,
372.33,2002,,
373.08,2002.1,,
373.84,2002.2,,
374.93,2002.3,,
375.59,2002.4,,
375.43,2002.5,,
373.92,2002.5,,
371.8,2002.6,,
370.63,2002.7,,
370.5,2002.8,,
372.18,2002.9,,
373.69,2003,,
374.86,2003,,
375.65,2003.1,,
376.47,2003.2,,
377.73,2003.3,,
378.6,2003.4,,
378.22,2003.5,,
376.74,2003.5,,
374.55,2003.6,,
373.14,2003.7,,
373.11,2003.8,,
374.67,2003.9,,
375.94,2004,,
